School,City,Region,Applied,Admitted,Enrolled
ACADEMY OF CAREERS AND EXPLORA,Helendale,San Bernardino,5.0,0.0,0.0
ACADEMY OF FINANCE/ENTERPRISE,Long Island City,NY,0.0,0.0,0.0
ACADEMY OF HOLY ANGELS,Richfield,MN,9.0,6.0,0.0
ACADEMY OF INNOVATION,Hemet,Riverside,5.0,0.0,0.0
ACADEMY OF MEDIA ARTS,Los Angeles,Los Angeles,0.0,0.0,0.0
ACADEMY OF MEDICAL ARTS AT CARSON,Carson,Los Angeles,49.0,30.0,10.0
ACADEMY OF NOTRE DAME DE NAMUR,Villanova,PA,0.0,0.0,0.0
ACADEMY OF NOTRE DAME,Tyngsboro,MA,0.0,0.0,0.0
ACADEMY OF OUR LADY OF GUAM,Hagatna,GU,0.0,0.0,0.0
ACADEMY OF OUR LADY OF MERCY,Louisville,KY,0.0,0.0,0.0
ACADEMY OF OUR LADY OF MERCY,Milford,CT,0.0,0.0,0.0
ACADEMY OF SAINT ELIZABETH,Morristown,NJ,0.0,0.0,0.0
ACADEMY OF SCIENTIFIC EXPLORAT,San Fernando,Los Angeles,25.0,12.0,0.0
ACADEMY OF SPORTS SCIENCE,Claremont,Los Angeles,0.0,0.0,0.0
ACADEMY OF THE CANYONS,Santa Clarita,Los Angeles,77.0,58.0,37.0
ACADEMY OF THE HOLY ANGELS,Demarest,NJ,8.0,3.0,0.0
ACADEMY OF THE HOLY CROSS,Kensington,MD,0.0,0.0,0.0
ACADEMY OF THE HOLY NAMES,Tampa,FL,0.0,0.0,0.0
ACADEMY OF THE HOLY NAMES,Albany,NY,0.0,0.0,0.0
ACADEMY OF THE REDWOODS,Eureka,Humboldt,18.0,15.0,11.0
ACADEMY OF THE SACRED HEART,Grand Coteau,LA,0.0,0.0,0.0
ACADEMY OF THE SACRED HEART,New Orleans,LA,0.0,0.0,0.0
ACADEMY OF THE SACRED HEART,Bloomfield Hills,MI,0.0,0.0,0.0
ACADEMY OF THOUGHT AND INDSTRY,San Francisco,San Francisco,0.0,0.0,0.0
ACADEMY OUR LADY OF PEACE,San Diego,San Diego,127.0,76.0,26.0
ACADEMY SCHOOL DISTRICT ,Colorado Springs,CO,0.0,0.0,0.0
ACADEMY SOFTWARE ENGINEERING,New York,NY,0.0,0.0,0.0
ACADEMY-CAREER TELEVISION/FILM,Long Island City,NY,0.0,0.0,0.0
ACADEMY-SAN FRAN @ MCATEER,San Francisco,San Francisco,17.0,12.0,7.0
ACALANES CENTER FOR INDEPENDEN,Walnut Creek,Contra Costa,0.0,0.0,0.0
ACALANES HIGH SCHOOL,Lafayette,Contra Costa,143.0,79.0,45.0
ACCEL DAY AND EVENING ACADEMY,Mobile,AL,0.0,0.0,0.0
ACCELERATE ONLINE ACADEMY,Anthem,AZ,0.0,0.0,0.0
ACCESS INTERNATIONAL ACADEMY NINGBO,nan,nan,0.0,0.0,0.0
ACE CHARTER HIGH SCHOOL,San Jose,Santa Clara,13.0,12.0,0.0
ACELLUS ACADEMY,Kansas City,MO,12.0,9.0,3.0
ACG PARNELL COLLEGE,nan,nan,13.0,7.0,3.0
ACG SCHOOL JAKARTA,nan,nan,0.0,0.0,0.0
ACHIEVEMENT FIRST AMISTAD HIGH,New Haven,CT,0.0,0.0,0.0
ACHIEVEMENT FIRST EAST BROOKLY,Brooklyn,NY,0.0,0.0,0.0
ACI HIGH SCHOOL,nan,nan,7.0,4.0,0.0
ACS COBHAM INTERNATIONAL SCHOO,nan,nan,6.0,5.0,0.0
ACS DOHA INTERNATIONAL SCHOOL,nan,nan,0.0,0.0,0.0
ACS EGHAM INTERNATIONAL SCHOOL,nan,nan,0.0,0.0,0.0
ACS INTERNATIONAL,nan,nan,16.0,9.0,0.0
ACS JAKARTA,nan,nan,33.0,16.0,6.0
ACTON ACADEMY PLACER ROSEVILLE,Roseville,Placer,0.0,0.0,0.0
ACTON ACADEMY,Austin,TX,0.0,0.0,0.0
ACTON-BOXBOROUGH REGIONAL HS,Acton,MA,54.0,25.0,0.0
ADDISON TRAIL HIGH SCHOOL,Addison,IL,0.0,0.0,0.0
ADELANTO HIGH SCHOOL,Adelanto,San Bernardino,81.0,62.0,20.0
ADELPHIA CLASSICAL CHRISTIAN ACAD,Orange,Orange,0.0,0.0,0.0
ADELSON SCHOOL THE,Las Vegas,NV,0.0,0.0,0.0
ADITYA BIRLA WORLD ACADEMY,nan,nan,50.0,24.0,5.0
ADLAI E STEVENSON HIGH SCHOOL,Lincolnshire,IL,165.0,78.0,12.0
ADLAI E STEVENSON HIGH SCHOOL,Livonia,MI,6.0,4.0,0.0
ADLAI E STEVENSON HIGH SCHOOL,Sterling Heights,MI,0.0,0.0,0.0
ADMIRAL FARRAGUT ACADEMY,Saint Petersburg,FL,0.0,0.0,0.0
ADNA MIDDLE-HIGH SCHOOL,Chehalis,WA,0.0,0.0,0.0
ADNOC SCHOOLS,nan,nan,0.0,0.0,0.0
ADOLFO CAMARILLO HIGH SCHOOL,Camarillo,Ventura,129.0,94.0,39.0
ADRIAN C WILCOX HIGH SCHOOL,Santa Clara,Santa Clara,176.0,136.0,59.0
ADULT EVENING HIGH (RAMONA CAMPUS),Riverside,Riverside,0.0,0.0,0.0
ADVANCED GENERATIONS INTERNATI,nan,nan,0.0,0.0,0.0
ADVANCED GENERATIONS INTL SCH GIRLS,nan,nan,0.0,0.0,0.0
ADVANCED LEARNING ACADEMY,San Antonio,TX,0.0,0.0,0.0
ADVANCED LEARNING SCHOOLS,nan,nan,0.0,0.0,0.0
ADVANCED LRNG ACDMY EARLY COLG,Santa Ana,Orange,22.0,14.0,5.0
ADVANCED MATH/SCI ACAD CHARTER,Marlborough,MA,0.0,0.0,0.0
ADVANCED TECHNOLOGIES ACADEMY,Las Vegas,NV,31.0,21.0,3.0
ADVANTAGES SCHOOL INTRNTL,Reno,NV,0.0,0.0,0.0
ADVENTIST INTRNTL MISSION SCHL,nan,nan,0.0,0.0,0.0
AEGEAN ACADEMY,Redondo Beach,Los Angeles,0.0,0.0,0.0
AEROSTEM ACADEMY,Yuba City,Sutter,0.0,0.0,0.0
AESA PREP ACADEMY,Austin,TX,0.0,0.0,0.0
AFFILIATED HIGH SC PEKING UNIV,nan,nan,70.0,44.0,13.0
AFFILIATED HIGH SCHOOL OF FUJI,nan,nan,0.0,0.0,0.0
AFFILIATED HS GUANGZHOU UNIV,nan,nan,12.0,11.0,4.0
AFFILIATED HS HANGZHOU NORMAL,nan,nan,13.0,10.0,3.0
AFFILIATED HS PEKING UNIV HAIKOU,nan,nan,0.0,0.0,0.0
AFFILIATED HS SHANXI UNIVRSITY,nan,nan,0.0,0.0,0.0
AFFTON HIGH SCHOOL,Saint Louis,MO,0.0,0.0,0.0
AFNORTH MIDDLE/HIGH SCHOOL,nan,nan,0.0,0.0,0.0
AG WEST BLACK HILLS,Olympia,WA,0.0,0.0,0.0
AGA KHAN ACADEMY HYDERABAD,nan,nan,21.0,13.0,3.0
AGA KHAN ACADEMY MOMBASA,nan,nan,5.0,0.0,0.0
AGA KHAN HIGH SCHOOL - KAMPALA,nan,nan,0.0,0.0,0.0
AGA KHAN SCHOOL - DHAKA,nan,nan,0.0,0.0,0.0
AGAPE CHRISTIAN SCHOOL,Saipan,MP,0.0,0.0,0.0
AGBU MANOOGIAN-DEMIRDJIAN SCH,Canoga Park,Los Angeles,26.0,19.0,12.0
AGINCOURT COLLEGIATE INSTITUTE,nan,nan,0.0,0.0,0.0
AGNES IRWIN SCHOOL,Bryn Mawr,PA,5.0,4.0,0.0
AGORA CYBER CHARTER SCHOOL,King Of Prussia,PA,0.0,0.0,0.0
AGORA INTERNATIONAL SCH MADRID,nan,nan,0.0,0.0,0.0
AGORA PORTALS INTERNATIONAL SC,nan,nan,0.0,0.0,0.0
AGORA SANT CUGAT INTERNATIONAL,nan,nan,0.0,0.0,0.0
AGOURA HIGH SCHOOL,Agoura Hills,Los Angeles,165.0,98.0,48.0
AGUA FRIA HIGH SCHOOL,Avondale,AZ,5.0,4.0,0.0
AHLIYYAH SCHOOL FOR GIRLS,nan,nan,0.0,0.0,0.0
AHMEDABAD INTERNATIONAL SCHOOL,nan,nan,24.0,15.0,0.0
AHWAHNEE HIGH SCHOOL,Oakhurst,Madera,0.0,0.0,0.0
AIEA HIGH SCHOOL,Aiea,HI,15.0,9.0,0.0
AIGLON COLLEGE,nan,nan,8.0,4.0,0.0
AIKEN HIGH SCHOOL,Aiken,SC,0.0,0.0,0.0
AIKEN SCHOLARS ACADEMY,Aiken,SC,0.0,0.0,0.0
AIM SERVICIOS EDUC SA DE CV,nan,nan,0.0,0.0,0.0
AIMS COLLEGE PREP HIGH SCHOOL,Oakland,Alameda,65.0,57.0,29.0
AIR ACADEMY HIGH SCHOOL,Usaf Academy,CO,6.0,3.0,0.0
AISB-HOPE INTERNATIONAL SCHOOL,nan,nan,0.0,0.0,0.0
AITCHISON COLLEGE,nan,nan,29.0,21.0,5.0
AJO HIGH SCHOOL,Ajo,AZ,0.0,0.0,0.0
AKADEMEIA HIGH SCHOOL,nan,nan,0.0,0.0,0.0
AKCHOICE,Anchorage,AK,0.0,0.0,0.0
AKIBA YAVNEH ACADEMY,Dallas,TX,0.0,0.0,0.0
AKINS EARLY COLLEGE HIGH SCHOO,Austin,TX,0.0,0.0,0.0
AKRON CENTRAL SCHOOL,Akron,NY,0.0,0.0,0.0
AKRON EARLY COLLEGE HIGH SCH,Akron,OH,0.0,0.0,0.0
AKTOBE REG BILIM-INV BRDG LYCM,nan,nan,0.0,0.0,0.0
AL AKHAWAYN SCHOOL OF IFRANE,nan,nan,0.0,0.0,0.0
AL ANDALUS PRIVATE SCHOOL - AM,nan,nan,7.0,4.0,0.0
AL ANJAL PRIVATE SCHOOL-JEDDAH,nan,nan,0.0,0.0,0.0
AL AQEEQ NATIONAL SCHOOL-GIRLS,nan,nan,0.0,0.0,0.0
AL ARQAM COLL PREPARATORY SCH,Sacramento,Sacramento,15.0,10.0,4.0
AL BAYAN MODEL SCH FOR GIRLS,nan,nan,0.0,0.0,0.0
AL DHAFRA PRIVATE SCHOOL - MBZ,nan,nan,0.0,0.0,0.0
AL DIYAFAH HIGH SCHOOL,nan,nan,0.0,0.0,0.0
AL EKHAA SCHOOL FOR BOYS,nan,nan,0.0,0.0,0.0
AL FARIS INTERNATIONAL SCHOOL,nan,nan,9.0,4.0,0.0
AL FORSAN INTL SCH RIYADH BOYS,nan,nan,0.0,0.0,0.0
AL HAMRAA INTERNATIONAL SCHOOL,nan,nan,0.0,0.0,0.0
AL HUSSAN INTERNATIONAL SCHOOL,nan,nan,0.0,0.0,0.0
AL HUSSAN MODEL SCHL GIRLS JBL,nan,nan,0.0,0.0,0.0
AL KHOR INTERNATIONAL SCHOOL,nan,nan,0.0,0.0,0.0
AL KIFAH PRIVATE SCHOOL,nan,nan,6.0,0.0,0.0
AL MANHAL SCH AL TAAWUN BRANCH,nan,nan,0.0,0.0,0.0
AL MAWAKEB SCHOOL - AL GARHOUD,nan,nan,0.0,0.0,0.0
AL MAWAKEB SCHOOL AL BARSHA,nan,nan,0.0,0.0,0.0
AL MOKTASHEF INTERNATIONAL SCH,nan,nan,0.0,0.0,0.0
AL ORUBA INTERNATIONAL SCHOOL,nan,nan,0.0,0.0,0.0
AL RAED INTERNATIONAL SCHOOLS,nan,nan,0.0,0.0,0.0
AL RASHIDIYA GIRLS SCH FOR SEC EDUC,nan,nan,0.0,0.0,0.0
AL RESALAH INT'L SCHL SCIENCE,nan,nan,0.0,0.0,0.0
AL ROWAD INTERNATIONAL SCHOOL,nan,nan,8.0,6.0,0.0
AL TARBIA AL ISLAMIA SCHOOLS,nan,nan,0.0,0.0,0.0
AL-AMAL SCHOOL,Fridley,MN,0.0,0.0,0.0
AL-BATOOL PRIV SCH GIRLS AMER,nan,nan,0.0,0.0,0.0
AL-BAYAN BILINGUAL SCHOOL,nan,nan,26.0,16.0,5.0
AL-FORQAN PRV SCH AMERICAN DIV,nan,nan,0.0,0.0,0.0
AL-GHAZALY JUNIOR-SENIOR HS,Wayne,NJ,0.0,0.0,0.0
AL-HAYAT UNIVERSAL BILINGUAL S,nan,nan,0.0,0.0,0.0
AL-HUSSAN MODEL PRV SS BOYS DM,nan,nan,8.0,0.0,0.0
AL-KON INTERNATIONAL SCHOOL,nan,nan,0.0,0.0,0.0
ALABAMA HOME SCHOOL,Birmingham,AL,0.0,0.0,0.0
ALABAMA SCHOOL OF CYBER TECHNO,Huntsville,AL,0.0,0.0,0.0
ALABAMA SCHOOL OF FINE ARTS,Birmingham,AL,5.0,3.0,0.0
ALABAMA SCHOOL OF MATH/SCIENCE,Mobile,AL,0.0,0.0,0.0
ALABAMA,nan,AL,0.0,0.0,0.0
ALAIN LEROY LOCKE COLLEGE PREP,Los Angeles,Los Angeles,80.0,60.0,12.0
ALAMEDA COMMUNITY LEARNING CTR,Alameda,Alameda,18.0,10.0,7.0
ALAMEDA COUNTY OFFICE OF EDUCATION,Oakland,Alameda,0.0,0.0,0.0
ALAMEDA HIGH SCHOOL,Alameda,Alameda,246.0,178.0,90.0
ALAMEDA INTERNATIONAL JUNIOR S,Lakewood,CO,0.0,0.0,0.0
ALAMEDA SCIENCE & TECHLGY INST,Alameda,Alameda,27.0,22.0,17.0
ALAMO HEIGHTS HIGH SCHOOL,San Antonio,TX,13.0,9.0,0.0
ALAMOGORDO HIGH SCHOOL,Alamogordo,NM,0.0,0.0,0.0
ALAMOSA HIGH SCHOOL,Alamosa,CO,0.0,0.0,0.0
ALAN C POPE HIGH SCHOOL,Marietta,GA,6.0,3.0,0.0
ALASKA HOME SCHOOL,Juneau,AK,13.0,7.0,0.0
ALASKA MIDDLE COLLEGE SCHOOL,Anchorage,AK,0.0,0.0,0.0
ALASKA,nan,AK,0.0,0.0,0.0
ALBANY ACADEMIES,Albany,NY,5.0,3.0,0.0
ALBANY HIGH SCHOOL,Albany,NY,0.0,0.0,0.0
ALBANY HIGH SCHOOL,Albany,Alameda,171.0,130.0,73.0
ALBEMARLE HIGH SCHOOL,Albemarle,NC,0.0,0.0,0.0
ALBEMARLE HIGH SCHOOL,Charlottesville,VA,8.0,0.0,0.0
ALBERT COLLEGE,nan,nan,5.0,5.0,0.0
ALBERT EINSTEIN HIGH SCHOOL,Kensington,MD,7.0,4.0,0.0
ALBERT M LOWRY HIGH SCHOOL,Winnemucca,NV,0.0,0.0,0.0
ALBERTUS MAGNUS HIGH SCHOOL,Bardonia,NY,0.0,0.0,0.0
ALBUQUERQUE ACADEMY,Albuquerque,NM,44.0,31.0,9.0
