School,City,Region,Applied,Admitted,Enrolled
BLACKFOOT HIGH SCHOOL,Blackfoot,ID,0.0,0.0,0.0
BLACKMAN HIGH SCHOOL,Murfreesboro,TN,0.0,0.0,0.0
BLACKSBURG HIGH SCHOOL,Blacksburg,SC,0.0,0.0,0.0
BLACKSBURG HIGH SCHOOL,Blacksburg,VA,13.0,12.0,0.0
BLACKSTONE ACADEMY,Pawtucket,RI,0.0,0.0,0.0
BLACKSTONE VALLEY PREP HS,Cumberland,RI,0.0,0.0,0.0
BLACKSTONE VLY RGNL V0-TECH HS,Upton,MA,0.0,0.0,0.0
BLADENSBURG HIGH SCHOOL,Bladensburg,MD,0.0,0.0,0.0
BLAINE HIGH SCHOOL,Blaine,MN,6.0,6.0,0.0
BLAINE HIGH SCHOOL,Blaine,WA,5.0,0.0,0.0
BLAIR ACADEMY,Blairstown,NJ,43.0,25.0,6.0
BLAIR HIGH SCHOOL,Pasadena,Los Angeles,38.0,26.0,10.0
BLAKE SCHOOL THE,Minneapolis,MN,22.0,14.0,0.0
BLANCHET CATHOLIC SCHOOL,Salem,OR,0.0,0.0,0.0
BLESSED TRINITY CATHOLIC HS,Roswell,GA,0.0,0.0,0.0
BLIND BROOK HIGH SCHOOL,Rye Brook,NY,8.0,4.0,0.0
BLISSFIELD COMMUNITY HS,Blissfield,MI,0.0,0.0,0.0
BLOCK ISLAND SCHOOL,Block Island,RI,0.0,0.0,0.0
BLOOMFIELD HIGH SCHOOL,Bloomfield,NJ,5.0,0.0,0.0
BLOOMFIELD HIGH SCHOOL,Bloomfield,CT,0.0,0.0,0.0
BLOOMFIELD HILLS HIGH SCHOOL,Bloomfield Twp,MI,18.0,4.0,0.0
BLOOMING GROVE HIGH SCHOOL,Blooming Grove,TX,0.0,0.0,0.0
BLOOMINGDALE SENIOR HS,Valrico,FL,0.0,0.0,0.0
BLOOMINGTON HIGH SCHOOL NORTH,Bloomington,IN,0.0,0.0,0.0
BLOOMINGTON HIGH SCHOOL SOUTH,Bloomington,IN,0.0,0.0,0.0
BLOOMINGTON HIGH SCHOOL,Bloomington,IL,0.0,0.0,0.0
BLOOMINGTON HIGH SCHOOL,Bloomington,San Bernardino,96.0,69.0,25.0
BLOOR COLLEGIATE INSTITUTE,nan,nan,0.0,0.0,0.0
BLUE RIDGE ACADEMY,Maricopa,Kern,19.0,11.0,5.0
BLUE RIDGE HIGH SCHOOL,Lakeside,AZ,0.0,0.0,0.0
BLUE RIDGE SCHOOL,St George,VA,0.0,0.0,0.0
BLUE SPRINGS HIGH SCHOOL,Blue Springs,MO,0.0,0.0,0.0
BLUE SPRINGS SOUTH HIGH SCHOOL,Blue Springs,MO,0.0,0.0,0.0
BLUE VALLEY HIGH SCHOOL,Stilwell,KS,16.0,11.0,0.0
BLUE VALLEY NORTH HIGH SCHOOL,Overland Park,KS,23.0,11.0,3.0
BLUE VALLEY NORTHWEST HS,Overland Park,KS,13.0,9.0,3.0
BLUE VALLEY SOUTHWEST,Overland Park,KS,9.0,8.0,4.0
BLUE VALLEY WEST HIGH SCHOOL,Overland Park,KS,27.0,14.0,3.0
BLUEVALE COLLEGIATE INSTITUTE,nan,nan,0.0,0.0,0.0
BLYTH ACADEMY @ CIHA,nan,nan,0.0,0.0,0.0
BLYTH ACADEMY LAWRENCE PARK,nan,nan,0.0,0.0,0.0
BLYTH ACADEMY OTTAWA,nan,nan,0.0,0.0,0.0
BLYTHEVILLE HIGH SCHOOL,Blytheville,AR,0.0,0.0,0.0
BLYTHEWOOD HIGH SCHOOL,Blythewood,SC,0.0,0.0,0.0
BOARDMAN HIGH SCHOOL,Youngstown,OH,0.0,0.0,0.0
BOAZ HIGH SCHOOL,Boaz,AL,0.0,0.0,0.0
BOB HOPE HIGH SCHOOL,Port Arthur,TX,0.0,0.0,0.0
BOB JONES HIGH SCHOOL,Madison,AL,5.0,3.0,0.0
BOCA CIEGA SENIOR HIGH SCHOOL,Gulfport,FL,0.0,0.0,0.0
BOCA RATON COMMUNITY HIGH SCH,Boca Raton,FL,10.0,4.0,0.0
BODWELL HIGH SCHOOL,nan,nan,9.0,3.0,0.0
BOERNE HIGH SCHOOL,Boerne,TX,0.0,0.0,0.0
BOERNE SAMUEL V CHAMPION HS,Boerne,TX,0.0,0.0,0.0
BOERUM HILL SCHOOL,Brooklyn,NY,0.0,0.0,0.0
BOGOTA HIGH SCHOOL,Bogota,NJ,0.0,0.0,0.0
BOIKO ENGLISH PRIVATE SCHOOL,nan,nan,0.0,0.0,0.0
BOILING SPRINGS HIGH SCHOOL,Boiling Springs,PA,0.0,0.0,0.0
BOILING SPRINGS HIGH SCHOOL,Boiling Springs,SC,0.0,0.0,0.0
BOISE HIGH SCHOOL,Boise,ID,36.0,22.0,5.0
BOLINGBROOK HIGH SCHOOL,Bolingbrook,IL,0.0,0.0,0.0
BOLIVAR CENTRAL HIGH SCHOOL,Bolivar,TN,0.0,0.0,0.0
BOLIVAR HIGH SCHOOL,Bolivar,MO,0.0,0.0,0.0
BOLLES SCHOOL,Jacksonville,FL,16.0,10.0,4.0
BOLSA GRANDE HIGH SCHOOL,Garden Grove,Orange,118.0,92.0,44.0
BOMBAY INTERNATIONAL SCHOOL,nan,nan,15.0,8.0,0.0
BOMBAY SCOTTISH SCHOOL,nan,nan,12.0,9.0,0.0
BOND COUNTY COMM UNIT 2 HIGH S,Greenville,IL,0.0,0.0,0.0
BONITA HIGH SCHOOL,La Verne,Los Angeles,115.0,78.0,32.0
BONITA SPRINGS HIGH SCHOOL,Bonita Springs,FL,0.0,0.0,0.0
BONITA VISTA HIGH SCHOOL,Chula Vista,San Diego,167.0,115.0,65.0
BONN INTERNATIONAL SCHOOL,nan,nan,0.0,0.0,0.0
BONNEY LAKE HIGH SCHOOL,Bonney Lake,WA,0.0,0.0,0.0
BONSALL HIGH SCHOOL,Bonsall,San Diego,12.0,10.0,3.0
BOOKER T WASHINGTON HIGH SCHL,Tulsa,OK,0.0,0.0,0.0
BOOKER T WASHINGTON HS,Pensacola,FL,0.0,0.0,0.0
BOOKER T WASHINGTON HS,Atlanta,GA,0.0,0.0,0.0
BOOKER T WASHINGTON HSPVA,Dallas,TX,19.0,10.0,0.0
BOONE CENTRAL,Albion,NE,0.0,0.0,0.0
BOONE COUNTY HIGH SCHOOL,Florence,KY,0.0,0.0,0.0
BOONTON HIGH SCHOOL,Boonton,NJ,0.0,0.0,0.0
BOONVILLE HIGH SCHOOL,Boonville,IN,0.0,0.0,0.0
BORAH HIGH SCHOOL,Boise,ID,0.0,0.0,0.0
BORDEAUX INTERNATIONAL SCHOOL,nan,nan,0.0,0.0,0.0
BORDENTOWN REGIONAL H. S.,Bordentown,NJ,0.0,0.0,0.0
BORON HIGH SCHOOL,Boron,Kern,0.0,0.0,0.0
BORREGO SPRINGS HIGH SCHOOL,Borrego Springs,San Diego,8.0,3.0,0.0
BOSNIA-HERZEGOVINA,nan,nan,0.0,0.0,0.0
BOSQUE SCHOOL,Albuquerque,NM,11.0,8.0,0.0
BOSQUEVILLE HIGH SCHOOL,Waco,TX,0.0,0.0,0.0
BOSTON ARTS ACADEMY,Boston,MA,0.0,0.0,0.0
BOSTON COLLEGE HIGH SCHOOL,Dorchester,MA,10.0,5.0,0.0
BOSTON COLLEGIATE CHARTER SCH,Dorchester,MA,0.0,0.0,0.0
BOSTON INTERNATIONAL SCHOOL,nan,nan,0.0,0.0,0.0
BOSTON LATIN ACADEMY,Boston,MA,0.0,0.0,0.0
BOSTON LATIN SCHOOL,Boston,MA,29.0,17.0,0.0
BOSTON TRINITY ACADEMY,Boston,MA,0.0,0.0,0.0
BOSTON UNIVERSITY ACADEMY,Boston,MA,13.0,3.0,0.0
BOSTONIA GLOBAL,El Cajon,San Diego,8.0,4.0,0.0
BOTHELL HIGH SCHOOL,Bothell,WA,39.0,18.0,0.0
BOULDER CITY HIGH SCHOOL,Boulder City,NV,0.0,0.0,0.0
BOULDER CREEK HIGH SCHOOL,Anthem,AZ,15.0,10.0,0.0
BOULDER HIGH SCHOOL,Boulder,CO,78.0,47.0,13.0
BOULDER UNIVERSAL,Boulder,CO,0.0,0.0,0.0
BOUNTIFUL HIGH SCHOOL,Bountiful,UT,5.0,4.0,0.0
BOURBON COUNTY HIGH SCHOOL,Paris,KY,0.0,0.0,0.0
BOURNE HIGH SCHOOL,Bourne,MA,0.0,0.0,0.0
BOW HIGH SCHOOL,Bow,NH,0.0,0.0,0.0
BOWLING GREEN HIGH SCHOOL,Bowling Green,KY,0.0,0.0,0.0
BOWLING GREEN SENIOR HS,Bowling Green,OH,0.0,0.0,0.0
BOX ELDER HIGH SCHOOL,Brigham City,UT,0.0,0.0,0.0
BOYCEVILLE SENIOR HIGH SCHOOL,Boyceville,WI,0.0,0.0,0.0
BOYD H ANDERSON HIGH SCHOOL,Lauderdale Lakes,FL,0.0,0.0,0.0
BOYERTOWN AREA SENIOR HS,Boyertown,PA,0.0,0.0,0.0
BOYLAN CATHOLIC HIGH SCHOOL,Rockford,IL,0.0,0.0,0.0
BOYLE HEIGHTS TECHNOLOGY ACAD,Los Angeles,Los Angeles,0.0,0.0,0.0
BOYNTON HIGH SCHOOL,San Jose,Santa Clara,0.0,0.0,0.0
BOYS ACADEMIC LEADERSHIP ACDMY,Los Angeles,Los Angeles,0.0,0.0,0.0
BOYS LATIN SCHOOL OF MARYLAND,Baltimore,MD,0.0,0.0,0.0
BOZEMAN HIGH SCHOOL,Bozeman,MT,20.0,14.0,5.0
BRADFORD PREPARATORY SCHOOL,Charlotte,NC,0.0,0.0,0.0
BRADLEY CENTRAL HIGH SCHOOL,Cleveland,TN,0.0,0.0,0.0
BRADSHAW CHRISTIAN SCHOOL,Sacramento,Sacramento,7.0,4.0,0.0
BRADSHAW MOUNTAIN HIGH SCHOOL,Prescott Valley,AZ,0.0,0.0,0.0
BRAEBURN HIGH SCHOOL,nan,nan,0.0,0.0,0.0
BRAEBURN SCHOOL ARUSHA,nan,nan,0.0,0.0,0.0
BRAINTREE HIGH SCHOOL,Braintree,MA,5.0,0.0,0.0
BRANCH OF MOSCOW SCH BROOKES S,nan,nan,0.0,0.0,0.0
BRANDON HIGH SCHOOL,Ortonville,MI,0.0,0.0,0.0
BRANDON VALLEY HIGH SCHOOL,Brandon,SD,0.0,0.0,0.0
BRANDYWINE HIGH SCHOOL,Wilmington,DE,0.0,0.0,0.0
BRANHAM HIGH SCHOOL,San Jose,Santa Clara,222.0,154.0,68.0
BRANKSOME HALL ASIA,nan,nan,37.0,27.0,9.0
BRANKSOME HALL SCHOOL,nan,nan,27.0,14.0,0.0
BRANSON HIGH SCHOOL,Branson,MO,0.0,0.0,0.0
BRANSON SCHOOL,Ross,Marin,57.0,34.0,9.0
BRATTLEBORO UNION HIGH SCHOOL,Brattleboro,VT,0.0,0.0,0.0
BRAULIO ALONSO HIGH SCHOOL,Tampa,FL,0.0,0.0,0.0
BRAWLEY UNION HIGH SCHOOL,Brawley,Imperial,64.0,48.0,24.0
BRAZOSWOOD HIGH SCHOOL,Clute,TX,0.0,0.0,0.0
BREA OLINDA HIGH SCHOOL,Brea,Orange,143.0,98.0,53.0
BREARLEY SCHOOL,New York,NY,8.0,3.0,0.0
BREBEUF JESUIT PREPARATORY SCH,Indianapolis,IN,11.0,4.0,0.0
BRECK SCHOOL,Golden Valley,MN,11.0,7.0,3.0
BRECKENRIDGE JUNIOR-SENIOR HS,Breckenridge,MI,0.0,0.0,0.0
BRECKSVILLE-BROADVIEW HEIGHTS HS,Broadview Heights,OH,9.0,0.0,0.0
BREMERTON HIGH SCHOOL,Bremerton,WA,0.0,0.0,0.0
BRENT INTERNATIONAL SCHL SUBIC,nan,nan,0.0,0.0,0.0
BRENT INTERNATIONAL SCHOOL MANILA,nan,nan,11.0,8.0,0.0
BRENTSVILLE DISTRICT HIGH SCH,Nokesville,VA,0.0,0.0,0.0
BRENTWOOD ACADEMY,Brentwood,TN,0.0,0.0,0.0
BRENTWOOD COLLEGE SCHOOL,nan,nan,21.0,14.0,0.0
BRENTWOOD HIGH SCHOOL,Saint Louis,MO,0.0,0.0,0.0
BRENTWOOD HIGH SCHOOL,Brentwood,NY,0.0,0.0,0.0
BRENTWOOD HIGH SCHOOL,Brentwood,TN,21.0,10.0,3.0
BRENTWOOD SCHOOL,Los Angeles,Los Angeles,79.0,37.0,8.0
BRENTWOOD SCHOOL,nan,nan,0.0,0.0,0.0
BRET HARTE UNION HIGH SCHOOL,Angels Camp,Calaveras,25.0,22.0,5.0
BREWER HIGH SCHOOL,Brewer,ME,0.0,0.0,0.0
BREWSTER ACADEMY,Wolfeboro,NH,12.0,5.0,0.0
BREWSTER HIGH SCHOOL,Brewster,NY,0.0,0.0,0.0
BREWSTER HIGH SCHOOL,Brewster,WA,0.0,0.0,0.0
BRIAR WOODS HIGH SCHOOL,Ashburn,VA,15.0,5.0,0.0
BRIARCLIFF HIGH SCHOOL,Briarcliff Manor,NY,7.0,3.0,0.0
BRIARCREST CHRISTIAN HIGH SCHO,Eads,TN,0.0,0.0,0.0
BRICK TOWNSHIP MEMORIAL HS,Brick,NJ,0.0,0.0,0.0
BRIDGE ACADEMY,nan,nan,0.0,0.0,0.0
BRIDGE CITY HIGH SCHOOL,Bridge City,TX,0.0,0.0,0.0
BRIDGELAND HIGH SCHOOL,Cypress,TX,16.0,4.0,0.0
BRIDGES ACADEMY,Studio City,Los Angeles,9.0,9.0,3.0
BRIDGETON HIGH SCHOOL,Bridgeton,NJ,0.0,0.0,0.0
BRIDGEWATER-RARITAN REGIONAL H,Bridgewater,NJ,29.0,11.0,0.0
BRIDGEWATER-RAYNHAM RGNL HS,Bridgewater,MA,0.0,0.0,0.0
BRIDGEWAY ACADEMY,Catasauqua,PA,0.0,0.0,0.0
BRIDGTON ACADEMY,North Bridgton,ME,0.0,0.0,0.0
BRIEN MCMAHON HIGH SCHOOL,Norwalk,CT,11.0,6.0,0.0
BRIERCREST CHRISTIAN ACADEMY,nan,nan,0.0,0.0,0.0
BRIGHAM YOUNG UNIV INDEP HS,Provo,UT,0.0,0.0,0.0
BRIGHT HORIZON ACDMY ALLIED GD,San Diego,San Diego,7.0,4.0,3.0
BRIGHTER HORIZONS ACADEMY,Garland,TX,0.0,0.0,0.0
BRIGHTMONT ACADEMY - REDMOND,Redmond,WA,0.0,0.0,0.0
BRIGHTON COLLEGE INTL SCH BNGK,nan,nan,0.0,0.0,0.0
BRIGHTON COLLEGE,nan,nan,0.0,0.0,0.0
BRIGHTON HALL SCHOOL,Burbank,Los Angeles,5.0,3.0,3.0
BRIGHTON HIGH SCHOOL,Brighton,MI,0.0,0.0,0.0
BRIGHTON HIGH SCHOOL,Rochester,NY,6.0,3.0,0.0
BRIGHTON HIGH SCHOOL,Salt Lake City,UT,13.0,8.0,0.0
BRILLION HIGH SCHOOL,Brillion,WI,0.0,0.0,0.0
BRIMMER AND MAY SCHOOL,Chestnut Hill,MA,0.0,0.0,0.0
BRIO COLLEGE PREP,Los Angeles,Los Angeles,81.0,59.0,21.0
BRISBANE GIRLS GRAMMAR SCHOOL,nan,nan,0.0,0.0,0.0
BRISBANE GRAMMAR SCHOOL,nan,nan,0.0,0.0,0.0
BRISTOL EASTERN HIGH SCHOOL,Bristol,CT,0.0,0.0,0.0
BRITISH COLUMBIA ACADEMY,nan,nan,25.0,15.0,0.0
BRITISH COUNCIL SCHOOL,nan,nan,0.0,0.0,0.0
BRITISH INTERNATIONAL SCH HSTN,Katy,TX,7.0,3.0,0.0
BRITISH INTERNATIONAL SCHOOL HANOI,nan,nan,0.0,0.0,0.0
BRITISH INTERNATIONAL SCHOOL,nan,nan,12.0,8.0,0.0
BRITISH INTL SCH BRATISLAVA,nan,nan,0.0,0.0,0.0
BRITISH INTL SCHL HO CHI MINH,nan,nan,18.0,9.0,4.0
BRITISH INTL SCHL OF NEW YORK,New York,NY,0.0,0.0,0.0
BRITISH INTL SCHOOL ABU DHABI,nan,nan,0.0,0.0,0.0
BRITISH INTL SCHOOL OF JEDDAH,nan,nan,6.0,0.0,0.0
BRITISH INTRNTL SCHL CHARLOTTE,Charlotte,NC,0.0,0.0,0.0
BRITISH INTRNTL SCHL SHANGHAI,nan,nan,9.0,3.0,0.0
BRITISH INTRNTL SCHL-JAKARTA,nan,nan,16.0,10.0,0.0
BRITISH INTRNTL SCHOOL BOSTON,Boston,MA,7.0,3.0,0.0
BRITISH INTRNTL SCHOOL CHICAGO,Chicago,IL,14.0,6.0,0.0
BRITISH INTRNTL SCHOOL PHUKET,nan,nan,0.0,0.0,0.0
BRITISH INTRNTL SCHOOL WA,Washington,DC,6.0,0.0,0.0
BRITISH INTRNTL SCHOOL-RIYADH,nan,nan,6.0,0.0,0.0
BRITISH SCHOOL AL KHUBAIRAT,nan,nan,12.0,8.0,0.0
BRITISH SCHOOL IN COLOMBO,nan,nan,0.0,0.0,0.0
BRITISH SCHOOL IN TOKYO,nan,nan,5.0,4.0,0.0
BRITISH SCHOOL MANILA,nan,nan,23.0,15.0,0.0
BRITISH SCHOOL NETHERLANDS,nan,nan,0.0,0.0,0.0
BRITISH SCHOOL OF BAHRAIN,nan,nan,0.0,0.0,0.0
BRITISH SCHOOL OF BARCELONA,nan,nan,0.0,0.0,0.0
BRITISH SCHOOL OF BEIJING,nan,nan,0.0,0.0,0.0
BRITISH SCHOOL OF BRUSSELS,nan,nan,5.0,3.0,0.0
BRITISH SCHOOL OF GUANGZHOU,nan,nan,0.0,0.0,0.0
BRITISH SCHOOL OF KUWAIT THE,nan,nan,0.0,0.0,0.0
BRITISH SCHOOL OF RIO,nan,nan,10.0,5.0,0.0
BRITISH SCHOOL OF ULAANBAATAR,nan,nan,6.0,0.0,0.0
BRITISH SCHOOL THE,nan,nan,32.0,23.0,0.0
BRITISH SCHOOL WARSAW,nan,nan,0.0,0.0,0.0
BRITISH SCHOOL-RIO DE JANEIRO,nan,nan,0.0,0.0,0.0
BRITISH VIETNAMESE INTL HO CHI MINH,nan,nan,0.0,0.0,0.0
BRITISH VIETNAMESE INTL SCHL HANOI,nan,nan,0.0,0.0,0.0
BRNO INTERNATIONAL SCHOOL SRA,nan,nan,0.0,0.0,0.0
BROAD RUN HIGH SCHOOL,Ashburn,VA,13.0,6.0,0.0
BROADNECK HIGH SCHOOL,Annapolis,MD,0.0,0.0,0.0
BROADWATER ACADEMY,Exmore,VA,0.0,0.0,0.0
BROCK HIGH SCHOOL,Weatherford,TX,0.0,0.0,0.0
BROCKPORT HIGH SCHOOL,Brockport,NY,0.0,0.0,0.0
BROCKTON SCHOOL,nan,nan,0.0,0.0,0.0
BROKEN ARROW HIGH SCHOOL,Broken Arrow,OK,0.0,0.0,0.0
BROKEN BOW HIGH SCHOOL,Broken Bow,NE,0.0,0.0,0.0
BROMFIELD SCHOOL,Harvard,MA,9.0,4.0,0.0
BROMSGROVE SCHOOL,nan,nan,0.0,0.0,0.0
BRONTE COLLEGE OF CANADA,nan,nan,0.0,0.0,0.0
BRONX CENTER FOR SCIENCE AND M,Bronx,NY,0.0,0.0,0.0
BRONX ENGINEERING & TECH ACAD,Bronx,NY,0.0,0.0,0.0
BRONX HIGH SCHOOL OF SCIENCE,Bronx,NY,62.0,32.0,0.0
BRONXVILLE HIGH SCHOOL,Bronxville,NY,20.0,11.0,0.0
BROOK HILL SCHOOL,Bullard,TX,10.0,5.0,0.0
BROOKE HIGH SCHOOL,Boston,MA,0.0,0.0,0.0
BROOKE POINT HIGH SCHOOL,Stafford,VA,0.0,0.0,0.0
BROOKFIELD ACADEMY,Brookfield,WI,15.0,9.0,0.0
BROOKFIELD CENTRAL HIGH SCHOOL,Brookfield,WI,5.0,0.0,0.0
BROOKFIELD EAST HIGH SCHOOL,Brookfield,WI,13.0,10.0,0.0
BROOKFIELD HIGH SCHOOL,Brookfield,CT,0.0,0.0,0.0
BROOKHOUSE INTERNATIONAL SCHL,nan,nan,0.0,0.0,0.0
BROOKINGS HIGH SCHOOL,Brookings,SD,0.0,0.0,0.0
BROOKLINE HIGH SCHOOL,Brookline,MA,67.0,37.0,7.0
BROOKLYN CENTER MIDDLE HIGH SCHOOL,Brooklyn Center,MN,0.0,0.0,0.0
BROOKLYN FRIENDS SCHOOL,Brooklyn,NY,6.0,4.0,0.0
BROOKLYN HS FOR LAW AND TECH,Brooklyn,NY,0.0,0.0,0.0
BROOKLYN INTERNATIONAL HS,Brooklyn,NY,0.0,0.0,0.0
BROOKLYN LATIN HIGH SCHOOL,Brooklyn,NY,13.0,6.0,0.0
BROOKLYN PROSPECT CHARTER SCHL,Brooklyn,NY,9.0,3.0,0.0
BROOKLYN TECHNICAL HIGH SCHOOL,Brooklyn,NY,85.0,48.0,7.0
BROOKS DEBARTOLO COLLEGIATE HS,Tampa,FL,0.0,0.0,0.0
BROOKS SCHOOL,North Andover,MA,8.0,3.0,0.0
BROOKSTONE SCHOOL,Columbus,GA,0.0,0.0,0.0
BROOKWOOD HIGH SCHOOL,Brookwood,AL,0.0,0.0,0.0
BROOKWOOD HIGH SCHOOL,Snellville,GA,15.0,6.0,0.0
BROOKWOOD SCHOOL,Thomasville,GA,0.0,0.0,0.0
BROOMFIELD HIGH SCHOOL,Broomfield,CO,10.0,5.0,0.0
BROPHY COLLEGE PREPARATORY,Phoenix,AZ,48.0,24.0,3.0
BROTHER MARTIN HIGH SCHOOL,New Orleans,LA,0.0,0.0,0.0
BROWARD VIRTUAL SCHOOL,Coconut Creek,FL,0.0,0.0,0.0
BROWN ACADEMY,nan,nan,0.0,0.0,0.0
BROWN DEER HIGH SCHOOL,Brown Deer,WI,0.0,0.0,0.0
BROWNELL-TALBOT SCHOOL,Omaha,NE,6.0,0.0,0.0
BROWNING SCHOOL,New York,NY,0.0,0.0,0.0
BROWNS TOWN COMMUNITY COLLEGE,nan,nan,0.0,0.0,0.0
BROWNSBURG HIGH SCHOOL,Brownsburg,IN,0.0,0.0,0.0
BRUMMANA HIGH SCHOOL,nan,nan,0.0,0.0,0.0
BRUNSWICK HIGH SCHOOL,Brunswick,GA,0.0,0.0,0.0
BRUNSWICK HIGH SCHOOL,Brunswick,ME,0.0,0.0,0.0
BRUNSWICK HIGH SCHOOL,Brunswick,MD,0.0,0.0,0.0
BRUNSWICK HIGH SCHOOL,Brunswick,OH,0.0,0.0,0.0
BRUNSWICK SCHOOL,Greenwich,CT,15.0,5.0,0.0
BRUTON HIGH SCHOOL,Williamsburg,VA,0.0,0.0,0.0
BRYAN ADAMS HIGH SCHOOL,Dallas,TX,0.0,0.0,0.0
BRYAN HIGH SCHOOL,Bryan,TX,0.0,0.0,0.0
BRYAN MIDDLE HIGH SCHOOL,Bryan,OH,0.0,0.0,0.0
BRYANSTON SCHOOL,nan,nan,0.0,0.0,0.0
BRYANT HIGH SCHOOL,Bryant,AR,0.0,0.0,0.0
BRYN MAWR SCHOOL FOR GIRLS,Baltimore,MD,15.0,4.0,0.0
BUCHAREST CHRISTIAN ACADEMY,nan,nan,0.0,0.0,0.0
BUCHHOLZ HIGH SCHOOL,Gainesville,FL,9.0,3.0,0.0
BUCKEYE UNION HIGH SCHOOL,Buckeye,AZ,0.0,0.0,0.0
BUCKHANNON UPSHUR HIGH SCHOOL,Buckhannon,WV,0.0,0.0,0.0
BUCKINGHAM BROWNE & NICHOLS SCHOOL,Cambridge,MA,30.0,18.0,0.0
BUCKINGHAM COLLEGIATE CHARTER,Vacaville,Solano,31.0,21.0,14.0
BUCKINGHAM COUNTY HIGH SCHOOL,Buckingham,VA,0.0,0.0,0.0
BUCKLEY SCHOOL,Sherman Oaks,Los Angeles,58.0,35.0,9.0
BUDHANILKANTHA SCHOOL,nan,nan,0.0,0.0,0.0
BUENA HIGH SCHOOL,Sierra Vista,AZ,0.0,0.0,0.0
BUENA HIGH SCHOOL,Ventura,Ventura,51.0,34.0,14.0
BUENA PARK HIGH SCHOOL,Buena Park,Orange,67.0,44.0,17.0
BUENA VISTA HIGH SCHOOL,Lakewood,Los Angeles,0.0,0.0,0.0
BUENA VISTA VIRTUAL ACADEMY,Yorba Linda,Orange,0.0,0.0,0.0
BUFFALO ACADEMY SACRED HEART,Buffalo,NY,0.0,0.0,0.0
BUFFALO ACADEMY SCI CHTR SCH,Buffalo,NY,0.0,0.0,0.0
BUFFALO GROVE HIGH SCHOOL,Buffalo Grove,IL,0.0,0.0,0.0
BUFFALO SEMINARY,Buffalo,NY,0.0,0.0,0.0
BUFORD HIGH SCHOOL,Buford,GA,0.0,0.0,0.0
BUHACH COLONY HIGH SCHOOL,Atwater,Merced,61.0,56.0,30.0
BULLARD HIGH SCHOOL,Fresno,Fresno,76.0,49.0,18.0
BULLIS SCHOOL,Potomac,MD,18.0,9.0,0.0
BUNCOMBE CO SCHLS VIRTUAL ACAD,Asheville,NC,0.0,0.0,0.0
BUNDANG DAEJIN HIGH SCHOOL,nan,nan,0.0,0.0,0.0
BUNN HIGH SCHOOL,Bunn,NC,0.0,0.0,0.0
BUR OAK SECONDARY SCHOOL,nan,nan,0.0,0.0,0.0
BURBANK ADULT SCHOOL,Burbank,Los Angeles,0.0,0.0,0.0
BURBANK INDEPENDENT LEARNING,Burbank,Los Angeles,0.0,0.0,0.0
BURBANK SENIOR HIGH SCHOOL,Burbank,Los Angeles,166.0,92.0,39.0
BURKBURNETT HIGH SCHOOL,Burkburnett,TX,0.0,0.0,0.0
BURKE MOUNTAIN ACADEMY,East Burke,VT,0.0,0.0,0.0
BURLESON CENTENNIAL HIGH SCHOO,Burleson,TX,0.0,0.0,0.0
BURLESON HIGH SCHOOL,Burleson,TX,0.0,0.0,0.0
BURLINGAME HIGH SCHOOL,Burlingame,San Mateo,198.0,140.0,73.0
BURLINGTON CENTRAL HIGH SCHOOL,nan,nan,0.0,0.0,0.0
BURLINGTON CITY HIGH SCHOOL,Burlington,NJ,0.0,0.0,0.0
BURLINGTON COMMUNITY HS,Burlington,IA,0.0,0.0,0.0
BURLINGTON COUNTY INST OF TECH,Mount Holly,NJ,0.0,0.0,0.0
BURLINGTON HIGH SCHOOL,Burlington,MA,10.0,5.0,0.0
BURLINGTON HIGH SCHOOL,Burlington,VT,9.0,7.0,0.0
BURLINGTON HIGH SCHOOL,Burlington,WI,0.0,0.0,0.0
BURLINGTON TOWNSHIP HIGH SCH,Burlington,NJ,0.0,0.0,0.0
BURLINGTON-EDISON HIGH SCHOOL,Burlington,WA,5.0,3.0,0.0
BURNABY CENTRAL SECONDARY SCH,nan,nan,0.0,0.0,0.0
BURNABY MOUNTAIN SECONDARY SCH,nan,nan,5.0,0.0,0.0
BURNABY NORTH SECONDARY SCHOOL,nan,nan,10.0,5.0,0.0
BURNABY SOUTH SECONDARY SCHOOL,nan,nan,0.0,0.0,0.0
BURNCOAT SENIOR HIGH SCHOOL,Worcester,MA,0.0,0.0,0.0
BURNEY JUNIOR-SENIOR HS,Burney,Shasta,0.0,0.0,0.0
BURNSVIEW SECONDARY SCHOOL,nan,nan,0.0,0.0,0.0
BURNSVILLE SENIOR HIGH SCHOOL,Burnsville,MN,0.0,0.0,0.0
BURR AND BURTON ACADEMY,Manchester,VT,0.0,0.0,0.0
BURRIS LABORATORY SCHOOL,Muncie,IN,0.0,0.0,0.0
BUSAN FOREIGN SCHOOL,nan,nan,7.0,4.0,0.0
BUSHWICK LEADERS HS ACAD EXCELLENCE,Brooklyn,NY,0.0,0.0,0.0
BUTLER AREA SR HIGH SCHOOL,Butler,PA,0.0,0.0,0.0
BUTLER HIGH SCHOOL,Butler,NJ,0.0,0.0,0.0
BUTTE HIGH SCHOOL,Butte,MT,0.0,0.0,0.0
BUTTE VALLEY HIGH SCHOOL,Dorris,Siskiyou,0.0,0.0,0.0
BUXTON SCHOOL,Williamstown,MA,0.0,0.0,0.0
